capability,needed_for_current_evidence,required_measurement,experimental_design,resolves,workflow_use
wafer_spatial_correction,True,"replicated, coordinate-registered film maps with pointwise uncertainty",repeat the same condition without changing wafer orientation or metrology coordinates,measurement noise versus reproducible in-plane residual structure,use uncertainty-weighted centered spatial validation
wafer_spatial_correction,True,wall or near-wall species/transport fields; spatial temperature only if the uniform-temperature assumption is invalid,"save the fields on the same wafer coordinates for conditions that change flow or pressure, while recording the uniform wafer temperature",surface-response variation versus local delivery under the stated uniform-temperature assumption,fit spatial drivers on identification conditions and evaluate centered residuals on held-out wafers
wafer_spatial_correction,False,independent wafer maps spanning the intended operating window,reserve complete conditions before choosing equations or spatial corrections,transfer of the correction rather than interpolation of one map,"apply the frozen correction and compare centered R2, range capture, and residual maps"
anonymous_species_role_assignment,True,independently varied candidate-species concentrations,"use factorial or near-orthogonal A/B/I perturbations, including low or off levels for one candidate at a time",confounded role directions and A/B exchange alternatives,require full condition-contrast rank and stable assignment across condition refits
anonymous_species_role_assignment,True,low-coverage and saturation conditions,"span dilute supply, transition, and plateau regimes without changing all species by the same factor",linear supply response versus adsorption saturation and competitive site occupation,compare each parent equation with its exact reductions
anonymous_species_role_assignment,True,surface-state or outlet-species observation tied to the anonymous inputs,"measure coverage, oxidation state, or consumption/byproduct response during an independent perturbation",an empirical role association versus a chemically assigned pathway,combine film prediction with the measured state or pathway observation
elementary_kinetic_parameter_estimation,True,"time-resolved uptake, thickness, or surface-state response",apply concentration steps or separated pulses with sampling faster than the observed relaxation,"storage, release, conversion, and redox time constants","fit the dynamic AIB, ALD, or MvK state history rather than a steady lumped group"
elementary_kinetic_parameter_estimation,True,multiple calibrated substrate temperatures,repeat independent concentration transients at several temperatures with matched transport characterization,Arrhenius prefactors and activation energies from concentration effects,share activation parameters across temperature conditions and validate temperature transfer
elementary_kinetic_parameter_estimation,True,site density and absolute wall concentration or reacting-wall molar flux,"measure or calibrate active-site capacity, stoichiometry, diffusivity, and wall-normal transport",coverage turnover frequency and elementary constants in physical units,close molar surface and transport fluxes with Gamma_s and propagate their uncertainty
elementary_kinetic_parameter_estimation,True,replicated dynamic observations with uncertainty,repeat the transients used for estimation and retain a new recipe as an external test,practical parameter intervals and predictive uncertainty,"check sensitivity rank, profile intervals, parameter correlation, and no-refit prediction"
